sourceHandle,sourceTitle,sourceImage,sourceCode,referenceCount,cand1_gid,cand1_handle,cand1_title,cand1_score,cand2_gid,cand2_handle,cand2_title,cand2_score,cand3_gid,cand3_handle,cand3_title,cand3_score,accepted_gid
poustni-sul-z-kalahari-baleni,Pouštní sůl z Kalahari krabička,https://www.sonnentor.com/cz/product-images/00695/83130/image-thumb__83130__product-teaser-img/00695.74c9ed2b.jpg,00695,5,,,,,,,,,,,,,
zazvor-bio-porcovany-jednokomorovy,Zázvor bio porcovaný jednokomorový,https://www.sonnentor.com/cz/product-images/02853/33726/image-thumb__33726__product-teaser-img/zazvor.7ea66481.jpg,,1,gid://shopify/Product/15821908181326,zazvor-kandovany-bio-75g,Zázvor kandovaný bio 75g,0.333,gid://shopify/Product/15821910835534,zazvor-bio-syp-90g,Zázvor bio syp. 90g,0.333,gid://shopify/Product/15821926793550,zazvor-bio-mlety-30-g,"Zázvor bio, mletý 30 g",0.333,
pepr-bily-mlety-bio-krabicka,Pepř bílý mletý bio krabička,https://www.sonnentor.com/cz/product-images/00359/33168/image-thumb__33168__product-teaser-img/00359.70deebaa.jpg,00359,10,gid://shopify/Product/15821921681742,pepr-cerny-bio-mlety-50g,"Pepř černý bio, mletý 50g",0.429,gid://shopify/Product/15821907296590,kmin-bio-mlety-60g,"Kmín bio, mletý 60g",0.286,gid://shopify/Product/15821909492046,hrebicek-bio-mlety-35g,"Hřebíček bio, mletý 35g",0.286,
bertram-mlety-bio-krabicka,Bertrám mletý bio krabička,https://www.sonnentor.com/cz/product-images/00728/33611/image-thumb__33611__product-teaser-img/00728.4e37d098.jpg,00728,3,gid://shopify/Product/15821907296590,kmin-bio-mlety-60g,"Kmín bio, mletý 60g",0.333,gid://shopify/Product/15821909492046,hrebicek-bio-mlety-35g,"Hřebíček bio, mletý 35g",0.333,gid://shopify/Product/15821909590350,galgan-bio-mlety-35g,"Galgán bio, mletý 35g",0.333,
citronova-materidouska-bio-krabicka2,Mateřídouška citronová bio krabička,https://www.sonnentor.com/cz/product-images/00907/34873/image-thumb__34873__product-teaser-img/00907.2f201f72.jpg,00907,4,gid://shopify/Product/15821934952782,citronova-materidouska-bio-18-g-porc-dvoukomorovy,"Citronová mateřídouška bio 18 g, porc. dvoukomorový",0.429,gid://shopify/Product/15821906837838,citronova-trava-bio-syp-80g,Citronová tráva bio syp. 80g,0.286,gid://shopify/Product/15821913456974,verbena-citronova-bio-syp-30g,Verbena citronová bio syp. 30g,0.286,
ayurvedska-kouzelna-sul-jemna-v-mlynku,Ayurvédská kouzelná sůl jemná v mlýnku,https://www.sonnentor.com/cz/product-images/01714/33892/image-thumb__33892__product-teaser-img/s%C5%AFl.f20907b8.jpg,,2,gid://shopify/Product/15821908902222,ayurvedska-kouzelna-sul-jemna-konv-150g,Ayurvédská kouzelná sůl jemná konv. 150g,0.571,gid://shopify/Product/15821908836686,ayurvedska-kouzelna-sul-do-mlynku-konv-150g,Ayurvédská kouzelná sůl do mlýnku konv. 150g,0.500,gid://shopify/Product/15821908803918,ayurvedska-kouzelna-sul-jemna-konv-doza-mala-120g,Ayurvédská kouzelná sůl jemná konv. - dóza malá 120g,0.444,
bylinky-na-zizu-bio-porcovany-dvoukomorovy,Bylinky na žížu® bio porcovaný dvoukomorový,https://www.sonnentor.com/cz/product-images/02633/72351/image-thumb__72351__product-teaser-img/02633.10dc7312.jpg,02633,10,gid://shopify/Product/15821923090766,ovoce-na-zizu-biorarasci-bio-324g-porc-dvoukomorovy,"Ovoce na žížu® Biorarášci bio 32,4g porc. dvoukomorový",0.364,gid://shopify/Product/15821914014030,balzam-na-nervy-bio-27g-porcdvoukomorovy,Balzám na nervy® bio 27g porc.dvoukomorový,0.300,gid://shopify/Product/15821933936974,oda-na-bylinky-sirup-bio-500-ml,Óda na bylinky sirup bio 500 ml,0.300,
habesino-koreni-berber-bio-krabicka,Habešina berberského koření,https://www.sonnentor.com/cz/product-images/00767/34398/image-thumb__34398__product-teaser-img/00767.c6bdcaeb.jpg,00767,4,,,,,,,,,,,,,
tabouleh-koreni-na-salat-bio-krabicka,Tabouleh - koření na salát bio krabička,https://www.sonnentor.com/cz/product-images/00758/34404/image-thumb__34404__product-teaser-img/00758.6dff291a.jpg,00758,4,gid://shopify/Product/15821922763086,koreni-na-vejce-bio-70g,Koření na vejce bio 70g,0.375,gid://shopify/Product/15821933314382,koreni-na-burger-bio-60-g,Koření na burger bio 60 g,0.375,gid://shopify/Product/15821933445454,koreni-na-nakladani-bio-65-g,Koření na nakládání bio 65 g,0.375,
salat-a-dipy-etericky-olej-bio,Salát a dipy éterický olej bio balení,https://www.sonnentor.com/cz/product-images/18004/60601/image-thumb__60601__product-teaser-img/18004.1cd7fd62.jpg,18004,4,gid://shopify/Product/15821911228750,levandule-bio-etericky-olej-10ml,Levandule bio éterický olej 10ml,0.375,gid://shopify/Product/15821911294286,bergamot-bio-etericky-olej-10ml,Bergamot bio éterický olej 10ml,0.375,gid://shopify/Product/15821911359822,cajovnik-bio-etericky-olej-10ml,Čajovník bio éterický olej 10ml,0.375,
