sourceHandle,sourceTitle,sourceImage,sourceCode,resolvedGid,resolvedHandle,resolvedTitle,method,referenceCount
vanocni-cukrovani-bio-dozicka,Vánoční cukrování bio dózička,https://www.sonnentor.com/cz/product-images/07771/97457/image-thumb__97457__product-teaser-img/07771.e402cdb7.jpg,07771,gid://shopify/Product/15821934920014,vanocni-cukrovani-bio-70-g-dozicka,"Vánoční cukrování bio 70 g, dózička",image-code,15
zeleninova-polevka-sv-hildegardy-bio-sklenice,1 l Zeleninová polévka sv. Hildegardy,https://www.sonnentor.com/cz/product-images/01420/70604/image-thumb__70604__product-teaser-img/01420.5b37a9fd.jpg,01420,gid://shopify/Product/15821924008270,zeleninova-polevka-sv-hildegardy-bio-ve-sklenicce,Zeleninová polévka sv. Hildegardy bio ve skleničce,image-code,13
vanilka-lusk-bio-baleni2,Vanilka lusk bio,https://www.sonnentor.com/cz/product-images/00671/61455/image-thumb__61455__product-teaser-img/00671.0ab47ce1.jpg,00671,gid://shopify/Product/15821921812814,vanilka-lusk-bio-1-ks,Vanilka lusk bio 1 ks,image-code,17
kmin-krizovy-matersky-cumin-mlety-bio-krabicka,Kmín římský mletý bio,https://www.sonnentor.com/cz/product-images/00747/33858/image-thumb__33858__product-teaser-img/00747.df8fa4c6.jpg,00747,gid://shopify/Product/15821911064910,kmin-rimsky-bio-mlety-40g,"Kmín římský bio, mletý 40g",image-code,13
zeleninova-polevka-sv-hildegardy-bujon-bio,Zeleninová polévka sv. Hildegardy – bujón bio,https://www.sonnentor.com/cz/product-images/01406/86578/image-thumb__86578__product-teaser-img/01406.197d37c9.jpg,01406,gid://shopify/Product/15821929120078,zeleninova-polevka-sv-hildegardy-bio-cz,Zeleninová polévka sv. Hildegardy bio CZ,image-code,12
ledovy-dzbanek-mata-cokoladova-verbena-bio-pyramidalni-sacky,Ledový džbánek® čokoládová máta – verbena bio pyramidální sáčky,https://www.sonnentor.com/cz/product-images/08004/34601/image-thumb__34601__product-teaser-img/08004.233fdaf9.jpg,08004,gid://shopify/Product/15821916143950,ledovy-dzbanek-cokoladova-mata-verbena-bio-32g-pyramida,Ledový džbánek® čokoládová máta – verbena bio 32g pyramida,image-code,8
ayurvedska-kouzelna-sul-do-mlynku-krabicka,Ayurvédská kouzelná sůl do mlýnku,https://www.sonnentor.com/cz/product-images/00714/33333/image-thumb__33333__product-teaser-img/00714.128d077a.jpg,00714,gid://shopify/Product/15821908836686,ayurvedska-kouzelna-sul-do-mlynku-konv-150g,Ayurvédská kouzelná sůl do mlýnku konv. 150g,image-code,18
levandule-etericky-olej-bio,10 kapek Levandule,https://www.sonnentor.com/cz/product-images/15021/33895/image-thumb__33895__product-teaser-img/15021.73698b7a.jpg,15021,gid://shopify/Product/15821911228750,levandule-bio-etericky-olej-10ml,Levandule bio éterický olej 10ml,image-code,30
chilli-con-carne-dona-rodriqueze-bio-krabicka,Chili con Carne dona Rodrigueze bio krabička,https://www.sonnentor.com/cz/product-images/00484/34747/image-thumb__34747__product-teaser-img/00484.1db98888.jpg,00484,gid://shopify/Product/15821916864846,chili-con-carne-dona-rodrigueze-bio-40g,Chili con Carne dona Rodrigueze bio 40g,image-code,9
santina-tandoori-masala-bio-krabicka,Šántina tandoori masala bio krabička,https://www.sonnentor.com/cz/product-images/00760/34406/image-thumb__34406__product-teaser-img/00760.74659423.jpg,00760,gid://shopify/Product/15821914374478,santina-tandoori-masala-bio-32g,Šántina tandoori masala bio 32g,image-code,14
pepr-cerny-mlety-bio-krabicka,Pepř černý mletý bio krabička,https://www.sonnentor.com/cz/product-images/00339/33146/image-thumb__33146__product-teaser-img/pepr_cerny_mlety.d8d3d9db.jpg,,gid://shopify/Product/15821921681742,pepr-cerny-bio-mlety-50g,"Pepř černý bio, mletý 50g",title-fuzzy-0.67,6
